id_registro,texto_original,dimension_psicologica,nivel_riesgo_estimado
1,Últimamente me he sentido muy triste y abrumada. El trabajo se ha convertido en una enorme fuente de estrés para mí.,Estrés (DASS-21),Moderado
2,"Hola, tengo mucho miedo por algo y necesito un consejo. Se trata de amistad.",Ansiedad (DASS-21),Moderado
3,"Oye, espero que estés bien. Quería hablar sobre algo que ha estado en mi mente últimamente. Me he sentido realmente sorprendida por mi estado emocional y está empezando a afectar mi salud en general.",General / Apoyo Emocional,Bajo
4,"Me siento realmente abrumado y no sé qué hacer al respecto. Es sólo que todo parece tan pesado y desesperado en este momento, ¿sabes? Y no sé exactamente por qué me siento así. Quizás tenga algo que ver con mi relación con mi mamá.",Estrés (DASS-21),Moderado
5,Me siento realmente molesto y confundido acerca de mi identidad.,General / Apoyo Emocional,Bajo
6,Me siento tan entumecido y eso está causando muchos conflictos dentro de mí.,General / Apoyo Emocional,Bajo
7,Me siento muy molesto hoy. Es muy difícil confiar en mí mismo.,General / Apoyo Emocional,Bajo
8,Sólo quiero encontrar algo de paz en mi vida. Mi novio dice que ha notado que últimamente me he comportado de manera diferente y supongo que tiene razón. No puedo negarlo más: tengo un problema de adicción.,General / Apoyo Emocional,Bajo
9,"Me siento muy distraído últimamente. Mi mente parece estar constantemente ocupada, saltando de un pensamiento a otro. Parece que no puedo concentrarme en nada por mucho tiempo. Se está volviendo bastante frustrante y no sé cómo liberarme de este ciclo.",General / Apoyo Emocional,Bajo
10,Me siento muy avergonzada y abrumada. Es como este ciclo interminable de adicción del que no puedo liberarme. Estoy atrapado en este aislamiento del que parece que no puedo escapar.,General / Apoyo Emocional,Bajo
11,"Hola, estoy sufriendo mucho en este momento y no sé a quién más acudir. Verás, tengo un amigo que sufre adicción a los roles y eso me está destrozando. He tratado de estar ahí para ellos, pero siento que todos mis esfuerzos son en vano. Quiero ayudarlos, pero no sé cómo. Supongo que la lucha de mi amigo contra la adicción también está desencadenando algo dentro de mí, que me recuerda los desafíos que enfrenté como padre.",General / Apoyo Emocional,Bajo
12,Me siento tan exhausto y perdido. Ya no sé qué hacer.,General / Apoyo Emocional,Bajo
13,Me siento realmente frustrado y arrepentido por mis relaciones personales.,General / Apoyo Emocional,Bajo
14,"Hola amigo. Últimamente me he sentido un poco deprimido y creo que tiene mucho que ver con mi autoestima. Es como un peso constante sobre mis hombros, ¿sabes?",General / Apoyo Emocional,Bajo
15,"Necesito un consejo. Tengo una relación amorosa con mi novia, pero últimamente hemos tenido algunas dificultades. Quiero encontrar una solución y mejorar las cosas entre nosotros. ¿Me puedes ayudar?",General / Apoyo Emocional,Bajo
16,"Últimamente me he sentido muy distraído, especialmente cuando se trata de la escuela. Es como si mi mente estuviera siempre en otra parte y parece que no puedo concentrarme en mis estudios.",Estrés (DASS-21),Moderado
17,Me siento muy avergonzado de mí mismo y todo se debe a mi familia. Siempre me han hecho sentir que no soy lo suficientemente bueno.,General / Apoyo Emocional,Bajo
18,"Hola, últimamente he estado luchando con sentimientos de amor y pérdida en mis relaciones personales. Ha sido bastante abrumador y no estoy seguro de cómo afrontarlo.",Estrés (DASS-21),Moderado
19,"Me siento abrumado por el miedo y una sensación constante de fracaso en mis relaciones personales. Parece que no importa cuánto lo intente, simplemente no puedo hacerlos funcionar. Temo que nunca podré tener conexiones sanas y satisfactorias con los demás.",Estrés (DASS-21),Moderado
20,Estoy muy enojado todo el tiempo y siento que todos los que me rodean me están intimidando. Es como si el peso del mundo estuviera sobre mis hombros y no pudiera encontrar ningún alivio.,General / Apoyo Emocional,Bajo
21,"Últimamente me siento muy decepcionado conmigo mismo. Es como si no importara lo que hiciera, parece que no puedo equilibrar mi trabajo y mis responsabilidades como padre. Siento esta presión y estrés constantes por no hacer lo suficiente, y se vuelve abrumador.",Estrés (DASS-21),Crítico
22,"Hola terapeuta! Espero que estés bien hoy. Últimamente me siento muy feliz, especialmente en mis relaciones personales. Creo que es porque he estado trabajando activamente para mejorar mis habilidades de comunicación.",General / Apoyo Emocional,Bajo
23,"Estoy realmente agradecido por esta oportunidad de hablar, terapeuta. Últimamente me he sentido abrumada por las emociones que siguieron a mi divorcio. Ha sido un viaje difícil y estoy luchando por encontrar mi camino a través del dolor.",General / Apoyo Emocional,Bajo
24,Últimamente me he sentido muy ansioso y creo que está empezando a afectar mi relación.,General / Apoyo Emocional,Bajo
25,Tengo mucho miedo en este momento y todo se debe a mi relación con mi madre.,Ansiedad (DASS-21),Moderado
26,Me siento aliviado de estar finalmente aquí. Ha sido muy difícil llevar esta carga de miedo por mi cuenta.,Estrés (DASS-21),Moderado
27,Me he sentido muy estresada últimamente. Es como un gran peso sobre mis hombros del que no puedo quitarme de encima. Creo que se remonta a mi infancia.,Estrés (DASS-21),Moderado
28,"Estoy cansado, pero quiero tener éxito en superar mi adicción.",Burnout Estudiantil (MBI-SS),Moderado
